baseline,race_id,season,round,race_date,field_size,spearman_correlation,mean_absolute_position_error,kendall_correlation,winner_accuracy,top_three_overlap
constructor_teammate_recent_10,2026-04,2026,4,2026-05-03,22,0.6578204404291361,3.6363636363636362,0.5151515151515151,0.0,0.6666666666666666
constructor_teammate_recent_5,2026-04,2026,4,2026-05-03,22,0.629587803500847,3.909090909090909,0.4805194805194805,0.0,0.6666666666666666
constructor_teammate_season_weighted,2026-04,2026,4,2026-05-03,22,0.5652173913043479,4.454545454545454,0.3939393939393939,0.0,0.6666666666666666
constructor_teammate_unweighted,2026-04,2026,4,2026-05-03,22,0.3946922642574816,5.7272727272727275,0.23809523809523808,0.0,0.0
driver_form_recent_10,2026-04,2026,4,2026-05-03,22,0.6860530773574252,3.8181818181818183,0.49783549783549785,0.0,0.6666666666666666
driver_form_recent_5,2026-04,2026,4,2026-05-03,22,0.663466967814794,3.8181818181818183,0.49783549783549785,0.0,0.6666666666666666
driver_form_season_weighted,2026-04,2026,4,2026-05-03,22,0.647656691134952,4.090909090909091,0.43722943722943725,0.0,0.3333333333333333
driver_form_unweighted,2026-04,2026,4,2026-05-03,22,0.6284584980237153,4.090909090909091,0.41125541125541126,0.0,0.3333333333333333
previous_race_order,2026-04,2026,4,2026-05-03,22,0.49181253529079616,4.7272727272727275,0.3333333333333333,1.0,0.6666666666666666
constructor_teammate_recent_10,2026-05,2026,5,2026-05-24,22,0.3416149068322981,5.818181818181818,0.29004329004329005,0.0,0.0
constructor_teammate_recent_5,2026-05,2026,5,2026-05-24,22,0.4206662902315076,5.363636363636363,0.3246753246753247,0.0,0.0
constructor_teammate_season_weighted,2026-05,2026,5,2026-05-24,22,0.23997741389045735,6.363636363636363,0.1774891774891775,0.0,0.3333333333333333
constructor_teammate_unweighted,2026-05,2026,5,2026-05-24,22,0.35064935064935066,6.181818181818182,0.2554112554112554,0.0,0.3333333333333333
driver_form_recent_10,2026-05,2026,5,2026-05-24,22,0.25578769057029926,6.090909090909091,0.18614718614718614,0.0,0.3333333333333333
driver_form_recent_5,2026-05,2026,5,2026-05-24,22,0.2535290796160361,6.363636363636363,0.18614718614718614,0.0,0.0
driver_form_season_weighted,2026-05,2026,5,2026-05-24,22,0.17899491812535295,6.909090909090909,0.14285714285714285,0.0,0.3333333333333333
driver_form_unweighted,2026-05,2026,5,2026-05-24,22,0.16431394692264256,7.0,0.11688311688311688,0.0,0.3333333333333333
previous_race_order,2026-05,2026,5,2026-05-24,22,0.16431394692264256,6.0,0.11688311688311688,1.0,0.3333333333333333
constructor_teammate_recent_10,2026-06,2026,6,2026-06-07,22,0.15527950310559002,6.818181818181818,0.10822510822510822,0.0,0.3333333333333333
constructor_teammate_recent_5,2026-06,2026,6,2026-06-07,22,0.29305477131564084,6.0,0.23809523809523808,0.0,0.6666666666666666
constructor_teammate_season_weighted,2026-06,2026,6,2026-06-07,22,0.05251270468661773,6.7272727272727275,0.021645021645021644,0.0,0.0
constructor_teammate_unweighted,2026-06,2026,6,2026-06-07,22,0.12252964426877466,6.454545454545454,0.09956709956709957,0.0,0.0
driver_form_recent_10,2026-06,2026,6,2026-06-07,22,0.0513833992094862,6.909090909090909,0.06493506493506493,0.0,0.3333333333333333
driver_form_recent_5,2026-06,2026,6,2026-06-07,22,0.1462450592885376,6.818181818181818,0.09090909090909091,1.0,0.3333333333333333
driver_form_season_weighted,2026-06,2026,6,2026-06-07,22,-0.04121964991530214,7.545454545454546,-0.021645021645021644,0.0,0.0
driver_form_unweighted,2026-06,2026,6,2026-06-07,22,-0.035573122529644285,7.545454545454546,-0.004329004329004329,0.0,0.0
previous_race_order,2026-06,2026,6,2026-06-07,22,0.19932241671372108,6.090909090909091,0.10822510822510822,1.0,0.6666666666666666
